Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Value_co2_emissions_kt_by_country_lag1,gdp_per_capita_lag1,Primary energy consumption per capita (kWh/person)_lag1,Entity_Encoded
2005.0,-1.5329055617694138,-0.957831325301205,-0.15336107958128387,0.0,0.8190199937843158,-0.44001673652978196,0.0,-0.25390969887849607,0.9785440802155085,-0.3507099898466134,-0.5824175824175823,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.3588136023867592,37
2006.0,-1.5075205485271965,-0.9444444444444445,-0.1663093286248791,0.0,0.9497565523671399,-0.44001673652978196,0.0,-0.2475113365741275,0.9873356798497751,-0.34133980264190394,-0.3772893772893772,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.34415546971765426,37
2007.0,-1.4845439914216811,-0.9337349397590361,-0.1794257367469626,0.0,0.7616285092717291,-0.43687477724704415,0.0,-0.26368454699879973,0.9282565137306202,-0.3278633411916238,-0.4358974358974359,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.33481430803243206,37
2008.0,-1.4613950134610811,-0.9190093708165997,-0.19203766763358135,0.0,0.6895265720501399,-0.42762373340463955,0.0,-0.2475113365741275,0.8673312302894879,-0.3191729478570201,-0.42857142857142855,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.32137959188412923,37
2009.0,-1.454229010085428,-0.9016064257028114,-0.20380880312775884,0.0,0.6723298456438414,-0.40699201246211175,0.0,-0.2571439937206101,0.6720579634113469,-0.3034811958762257,-0.39926739926739924,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.3127161183084989,37
2010.0,-1.390128600876762,-0.8855421686746988,-0.2142346659940303,0.0,0.6468455402465555,-0.3641616542301415,0.0,-0.23190973882402588,0.4878842921249032,-0.26959766712521527,-0.41025641025641013,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.29707297381472225,37
2011.0,-1.3678829250950115,-0.8654618473895582,-0.22331525623239581,0.0,0.8503056044752928,-0.3330256772813119,0.0,-0.1358559872810423,0.5823581722499775,-0.2461037690757994,-0.058608058608058664,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.2632944042286222,37
2012.0,-1.3469428032436292,-0.8447121820615797,0.21574809770042472,3.009406933139939,0.8643944887599709,-0.2922103661211347,0.0,-0.0868820026844474,0.5379384416638718,-0.24649983731681915,0.003663003663003585,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.23987328194993185,37
2013.0,-1.3244372087447702,-0.8212851405622491,0.19741875814520543,-1.1030347622458514,0.8057598673987362,-0.28620160540711204,0.0,-0.09131901763440183,0.5122414568477822,-0.20733807112353347,0.09890109890109908,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.24026812331189393,37
2014.0,-1.3032625354038523,-0.7985274431057564,0.180266532139404,-15.549817628966736,0.8007873200041438,-0.27642289561258215,0.0,-0.09580107919134423,0.47566874030147166,-0.22201915662656163,-0.021978021978021834,10500.0,0.0,0.0,0.0,-0.359375,4.580949801705762,-0.5703047116249358,-0.08832528131379243,0.0,0.0,-0.20122766639268846,37
